univerity_id,total_number_of_ratings_i,averageeasyscore_rf,pk_id,averageratingscore_rf,teacherfirstname_t,averagehelpfulscore_rf,averageclarityscore_rf,teacherlastname_t,teacher_profile
1389,98,2.6,160086,3.6,Robert,3.2,4.0,Garfield,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=160086
1389,96,3.07,213635,4.1,Alex,4.09,4.12,Devience,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=213635
1389,96,3.38,213639,4.12,Ann Marie,3.85,4.39,Klingenhagen,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=213639
1389,96,3.63,291899,4.78,Patrick,4.77,4.78,Murphy,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=291899
1389,94,3.6,339961,4.7,Robert,4.7,4.7,Rubin,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=339961
1389,93,1.57,220612,2.34,Edwin,2.42,2.26,Cohen,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=220612
1389,93,2.49,331143,3.96,Khaled,4.15,3.77,Keshk,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=331143
1389,92,3.7,264696,4.0,Dennis,3.8,4.2,Miller,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=264696
1389,92,2.3,491605,3.7,Dave,3.6,3.7,Roberts,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=491605
1389,92,3.7,264704,4.27,Victoria,4.36,4.17,Shannon,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=264704
1389,91,4.2,176143,3.9,Jumana,3.8,4.0,Khalifeh,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=176143
1389,91,3.1,252880,4.0,Margaret,4.0,4.0,Tower,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=252880
1389,91,2.91,259557,2.82,Mickey,2.92,2.71,Wendorf,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=259557
1389,90,4.0,285307,4.5,Yuki,4.6,4.5,Miyamoto,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=285307
1389,89,3.8,364104,4.2,Mark,4.0,4.3,Frigo,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=364104
1389,89,1.8,210787,2.5,Gang,2.6,2.4,Wang,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=210787
1389,88,2.26,415290,2.19,Lauren,2.1,2.28,Hahn,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=415290
1389,88,4.02,213637,4.34,Henry,4.32,4.36,Rodkin,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=213637
1389,88,3.82,266351,4.27,Biju,4.52,4.01,Varghese,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=266351
1389,87,3.69,138085,4.22,Thomas,4.08,4.36,Berry,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=138085
1389,87,4.8,340202,5.0,Laura,5.0,4.9,McFall,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=340202
1389,87,2.71,364572,2.56,Jan,2.56,2.56,Pranger,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=364572
1389,86,1.81,331540,3.34,Robert,3.26,3.42,Alford,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=331540
1389,86,2.85,175051,3.69,Kenneth,3.73,3.64,Bill,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=175051
1389,86,3.98,213642,3.78,Robert,3.72,3.84,O'Keefe,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=213642
1389,85,3.54,237457,2.04,Howard,1.96,2.11,Kanter,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=237457
1389,85,2.9,176070,2.8,David,3.0,2.6,Kossy,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=176070
1389,85,2.7,331802,3.4,Antonio,3.6,3.1,Morales-Pita,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=331802
1389,85,2.7,306978,3.4,Catherine,3.3,3.5,Ramsden,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=306978
1389,84,3.4,357186,4.1,Randall,4.2,4.0,Arakawa,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=357186
1389,84,2.9,359100,3.7,Jin,3.7,3.6,Choi,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=359100
1389,84,4.1,313898,3.6,Blackhawk,3.5,3.8,Hancock,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=313898
1389,83,2.5,167998,4.9,Zafar,4.9,4.9,Iqbal,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=167998
1389,82,4.35,175961,4.01,Michael,3.92,4.09,Tafel,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=175961
1389,81,2.95,356977,2.67,Peter,2.59,2.74,Chadraba,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=356977
1389,81,2.62,267430,3.48,Elizabeth,3.41,3.54,Kelly,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=267430
1389,81,2.56,255952,3.51,Robert,3.59,3.43,Zamsky,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=255952
1389,80,2.7,8075,3.5,Scott,3.5,3.6,Markwell,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=8075
1389,80,2.9,357943,4.5,Bob,4.5,4.4,Ryan,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=357943
1389,80,1.66,7974,2.14,Richard,2.1,2.18,Wiltgen,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=7974
1389,79,3.2,8081,3.5,Joe,3.2,3.8,Ferrari,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=8081
1389,79,2.62,331648,3.18,Ogenga,3.21,3.15,Otunnu,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=331648
1389,78,2.9,333587,2.9,Seongyeon,3.2,2.6,Lim,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=333587
1389,78,2.2,360408,2.5,Ruben,2.7,2.3,Parra,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=360408
1389,78,2.6,415237,3.3,Robert,3.3,3.2,Ryan,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=415237
1389,77,3.99,365080,3.1,Liliana,3.19,3.0,Fargo,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=365080
1389,77,4.6,1764358,4.8,Mofak,4.8,4.7,Hassan,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=1764358
1389,77,3.47,267586,3.75,Bayo,3.92,3.58,Ojikutu,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=267586
1389,76,1.86,213442,2.35,Maria,2.42,2.28,Beltran-Vocal,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=213442
1389,76,2.8,270005,2.9,Dana,2.7,3.1,Kaufman,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=270005
1389,76,2.2,7972,3.5,Anthony,3.2,3.7,Krautmann,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=7972
1389,76,4.24,120862,4.32,Maryjill,4.41,4.22,Mallin,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=120862
1389,76,3.39,210783,4.26,Brian,4.28,4.24,Niro,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=210783
1389,75,1.57,13780,2.78,David,2.76,2.8,Gitomer,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=13780
1389,75,3.87,25423,4.53,Stephen,4.65,4.41,Meinster,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=25423
1389,74,2.6,218104,3.5,Tom,3.4,3.5,Mockaitis,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=218104
1389,74,2.35,225948,3.7,Chris,3.74,3.66,Mount,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=225948
1389,74,4.4,179856,3.8,Owais,3.9,3.8,Succari,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=179856
1389,74,4.0,351948,3.9,Joel,4.0,3.8,Whalen,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=351948
1389,73,2.78,214614,2.37,Ling,2.27,2.47,Arenson,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=214614
1389,73,2.8,474688,4.2,Brian,4.1,4.3,Boeck,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=474688
1389,73,2.99,283481,3.48,Ramon,3.63,3.33,Codina,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=283481
1389,73,3.8,339944,4.8,Erich,4.8,4.8,Dierdorff,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=339944
1389,73,2.67,12628,3.57,Benton,3.55,3.59,Williams,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=12628
1389,72,2.2,902545,3.0,Alan,2.9,3.1,Ackmann,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=902545
1389,72,2.2,162823,3.9,Gabriella,4.0,3.8,Bucci,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=162823
1389,72,3.0,153432,2.9,William,2.8,3.0,Chin,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=153432
1389,72,3.08,710696,4.62,Kim,4.64,4.6,Clark,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=710696
1389,72,3.4,1185711,3.8,Kristina,3.6,3.9,Terkun,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=1185711
1389,71,3.2,748136,3.96,James,4.14,3.77,Beasley,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=748136
1389,71,3.38,228537,2.7,Elizabeth,2.94,2.46,Cohen,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=228537
1389,71,3.41,296029,3.83,Anthony,3.89,3.77,Ippolito,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=296029
1389,70,3.33,60456,3.9,Samuel,3.86,3.94,Garber,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=60456
1389,70,2.76,171835,3.68,Eric,3.79,3.57,Greenberg,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=171835
1389,70,3.31,270840,3.53,Evelyn,3.6,3.46,Lulis,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=270840
1389,70,3.48,1047721,4.96,Howard Peter,4.97,4.94,Steeves,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=1047721
1389,70,2.7,9488,3.8,Bob,3.7,3.8,Vallier,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=9488
1389,70,2.3,884711,2.51,Irena,2.73,2.3,Ziolkowska,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=884711
1389,69,2.6,266390,2.4,Allan,2.5,2.3,Berele,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=266390
1389,69,3.77,219484,3.18,Valerie,3.65,2.71,Bouagnon,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=219484
1389,69,3.17,287407,3.51,Chris,3.68,3.33,Cook,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=287407
1389,69,3.39,268556,3.66,Eduardo,3.81,3.52,Gatto,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=268556
1389,69,3.71,249302,2.57,Sigrun,2.97,2.17,Goes,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=249302
1389,69,3.8,521160,3.9,Bin,4.0,3.7,Jiang,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=521160
1389,69,3.2,363670,3.9,Kenshu,4.1,3.8,Shimada,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=363670
1389,68,2.31,260588,2.51,Kathryn,2.4,2.63,Ibata-Arens,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=260588
1389,68,3.37,236289,4.28,Roger,4.24,4.32,Lall,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=236289
1389,68,2.84,214594,3.65,Carl,3.65,3.65,Marcum,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=214594
1389,68,2.46,176043,2.4,Michael,2.46,2.34,Meyer,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=176043
1389,68,2.4,292403,4.1,Wayne,4.0,4.2,Steger,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=292403
1389,67,2.34,251354,2.18,Andrew,2.0,2.36,Glennon,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=251354
1389,67,2.9,162820,2.5,Myril,2.6,2.4,Hillman,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=162820
1389,67,3.25,363446,4.32,Michael,4.31,4.33,Skerker,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=363446
1389,66,2.6,267426,3.3,Seth,3.1,3.4,Epstein,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=267426
1389,66,3.2,166954,2.4,Curtis,2.6,2.1,Hansman,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=166954
1389,66,4.53,167118,4.53,Scott,4.5,4.56,Johnson,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=167118
1389,66,2.59,154365,2.94,Azza,2.95,2.92,Layton,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=154365
1389,66,3.41,228533,4.57,Elizabeth,4.73,4.41,Pritchard,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=228533
1389,66,3.0,280778,3.8,Pervez,3.6,3.9,Rahman,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=280778
1389,66,1.68,223638,1.73,Gary,1.88,1.58,Smith,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=223638
1389,65,3.28,361188,4.07,Jeremy,3.98,4.17,Bell,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=361188
1389,65,3.11,271251,3.79,Barb,3.94,3.65,Cortzen,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=271251
1389,65,2.97,733843,3.32,Carole,3.37,3.28,Esposito,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=733843
1389,65,2.86,272218,3.32,Leah,3.28,3.35,Lopez,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=272218
1389,65,2.62,254211,3.64,Ayse A.,3.85,3.43,Sahin,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=254211
1389,65,2.8,360461,2.9,Catherine,2.7,3.0,Zurybida,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=360461
1389,64,3.5,361541,4.0,Howard,3.9,4.2,Lindsey,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=361541
1389,64,2.73,428283,2.71,Aminah,2.75,2.67,McCloud,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=428283
1389,63,1.68,222750,2.33,John,2.25,2.41,Buckvold,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=222750
1389,63,2.9,405510,2.3,Kenneth,2.2,2.3,Fidel,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=405510
1389,63,3.6,305073,4.0,Robert,3.9,4.0,Galka,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=305073
1389,63,2.17,10674,3.54,James,3.6,3.48,Halstead,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=10674
1389,63,3.78,269201,4.87,Brenda,4.92,4.81,Kilianski,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=269201
1389,63,3.78,7978,4.41,Michael,4.49,4.33,Murray,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=7978
1389,63,2.8,213638,3.4,Kenneth,3.6,3.1,Thompson,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=213638
1389,62,2.68,214218,1.71,Judith,1.78,1.65,Bootcheck,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=214218
1389,62,2.53,304284,3.49,Patrick,3.58,3.4,Callahan,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=304284
1389,62,3.5,273772,4.4,Erin,4.5,4.3,MacKenna,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=273772
1389,62,2.6,271611,3.8,Kalyani,3.9,3.8,Menon,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=271611
1389,62,2.4,651030,3.6,Andrew,3.7,3.5,Miller,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=651030
1389,62,3.89,265022,4.33,Bernardo,4.6,4.06,Navia,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=265022
1389,62,3.3,353354,4.5,Timothy,4.7,4.2,Sparkes,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=353354
1389,61,3.1,54543,3.0,Roy,2.9,3.1,Furman,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=54543
1389,61,3.0,164574,3.4,Christine,3.3,3.5,Reyna,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=164574
1389,61,3.0,516201,3.7,Patricia,3.8,3.6,Smith,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=516201
1389,61,4.1,130278,3.8,Scott,3.8,3.9,Vyverman,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=130278
1389,60,4.2,210789,4.3,J.M.,4.4,4.2,Ash,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=210789
1389,60,3.79,454257,4.56,William,4.62,4.5,Butterworth,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=454257
1389,60,2.5,7968,3.6,Richard,3.53,3.67,Farkas,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=7968
1389,60,2.0,368359,2.3,Delvin,2.4,2.2,Grant,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=368359
1389,60,3.4,456295,3.6,Jim,3.8,3.5,Janossy,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=456295
1389,60,3.5,360533,4.0,Robert,4.1,4.0,Kallen,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=360533
1389,60,3.4,330907,4.6,Michael,4.6,4.6,Miller,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=330907
1389,60,3.57,261635,4.23,Kevin,4.25,4.2,Quirk,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=261635
1389,60,3.52,360576,3.73,Edward,3.72,3.75,Tomasiewicz,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=360576
1389,59,4.63,762586,4.65,Laith,4.64,4.66,Al-Saud,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=762586
1389,59,2.75,613553,2.43,Pia,2.73,2.14,Altieri,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=613553
1389,59,1.9,53264,2.3,Bala,2.4,2.3,Batavia,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=53264
1389,59,3.02,113180,3.62,Jane,3.59,3.64,Baxter,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=113180
1389,59,2.9,233083,3.8,John,3.9,3.8,Berdell,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=233083
1389,59,2.8,261325,2.0,Charles C.,2.0,2.1,Groth,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=261325
1389,59,1.8,1088647,2.0,Paul,1.8,2.3,Kubik,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=1088647
1389,59,2.61,335527,3.26,Heidi,3.37,3.15,Nast,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=335527
1389,59,3.2,117632,4.3,David,4.3,4.4,White,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=117632
1389,59,3.68,211156,4.63,Amy,4.68,4.58,Zimmer,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=211156
1389,58,2.4,166286,3.5,Larry,3.6,3.5,Bennett,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=166286
1389,58,2.6,349181,3.3,Leah,3.4,3.3,Bryant,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=349181
1389,58,3.3,337288,4.2,Lori,4.2,4.2,Cook,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=337288
1389,58,3.2,273019,3.8,Carolyn,4.0,3.6,Goffman,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=273019
1389,58,4.4,317020,4.2,Theresa,4.1,4.2,Luhrs,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=317020
1389,58,1.9,221108,3.65,Timothy,3.78,3.52,Opiela,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=221108
1389,58,3.5,628866,3.62,Sondra,3.72,3.52,Simpson,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=628866
1389,58,3.57,241418,4.44,Jose,4.4,4.48,Soltero,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=241418
1389,57,2.04,647337,3.76,Tamsen,3.77,3.75,Anderson,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=647337
1389,57,3.61,339213,4.45,William,4.47,4.44,Behun,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=339213
1389,57,2.7,419360,1.99,Enora,2.0,1.98,Brown,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=419360
1389,57,2.98,270014,4.12,Matthew,4.11,4.14,Dintzner,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=270014
1389,57,2.7,456345,2.6,Qi,2.9,2.4,Dong,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=456345
1389,57,3.77,255833,4.0,Safa,4.19,3.81,Hamed,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=255833
1389,57,3.8,903167,4.7,Stephanie,4.7,4.6,Howell,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=903167
1389,57,2.77,901463,3.0,Jaime Luynes,2.95,3.05,Noriega,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=901463
1389,57,3.1,270181,3.4,Joseph,3.5,3.2,Phillips,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=270181
1389,57,2.58,160088,2.68,Karen,2.61,2.74,Roloff,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=160088
1389,56,3.1,219541,3.2,Salli,3.1,3.3,Berg-Seeley,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=219541
1389,56,3.6,374776,4.2,Elizabeth,4.2,4.1,Bryant-Richards,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=374776
1389,56,2.96,153424,3.07,George,2.82,3.32,Corso,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=153424
1389,56,3.1,275908,3.5,Laila,3.6,3.4,Farah,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=275908
1389,56,1.95,361193,2.05,Vladimir,2.13,1.98,Lepetic,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=361193
1389,56,2.32,716955,3.52,Scott,3.63,3.41,Paeth,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=716955
1389,56,2.61,367364,3.64,Lisa,3.64,3.64,Sigel,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=367364
1389,55,3.2,395804,4.2,Molly,4.3,4.1,Andolina,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=395804
1389,55,3.31,210791,4.18,Nathan,4.16,4.2,Breen,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=210791
1389,55,3.8,264392,4.2,Laura,4.4,4.0,Durnell,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=264392
1389,55,2.09,354853,2.25,Constantine,2.49,2.02,Georgakis,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=354853
1389,55,3.5,264833,4.8,Jay,4.9,4.7,Nelson,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=264833
1389,55,3.7,784279,3.8,Thomas W.,3.7,3.8,O'Brien,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=784279
1389,55,2.47,13779,2.39,David,2.51,2.27,Pellauer,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=13779
1389,55,2.02,290941,4.05,Roshanna,4.04,4.05,Sylvester,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=290941
1389,55,2.29,883120,2.75,Kiryl,2.84,2.67,Tsishchanka,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=883120
1389,54,3.7,212334,3.5,David,3.6,3.3,Brenders,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=212334
1389,54,2.5,237550,3.5,Philip,3.5,3.5,Funk,http://www.ratemyprofessors.com/ShowRatings.jsp?tid=237550
